"player_name","birthday"
"Gianluigi Buffon","1978-01-28"
"Vitorino Hilton da Silva","1977-09-13"
"Alan Zamorado","1980-12-17"
"José Gustavo Sand","1980-07-17"
"Cássio Albuquerque dos Anjos","1980-08-12"
"Sebastián Alberto Torrico","1980-02-22"
"Artur Boruc","1980-02-20"
"Esteban Efraín Paredes Quintanilla","1980-08-01"
"Santiago Martín Silva Olivera","1980-12-09"
"Júlio César Cáceres López","1979-10-05"
"Cristian David Lucchetti","1978-06-26"
"Juan Francisco Martínez Modesto","1980-06-10"
"이동국 李东国","1979-04-29"
"Sergio Daniel Aquino","1979-09-21"
"中村 宪剛","1980-10-31"
"郑智","1980-08-20"
"Javier Marcelo Gandolfi","1980-12-05"
"Jean-François Gillet","1979-05-31"
"Mauricio Ariel Caranta","1978-07-31"
"Paulo César Da Silva Barrios","1980-02-01"
"中村 俊輔","1978-06-24"
"曾端 准","1979-08-02"
"南 雄太","1979-09-30"
"Leao Butrón Gotuzzo","1977-03-06"
"Luis Enrique Delgado Mantilla","1980-10-26"
"Carlos Enrique Saucedo Urgel","1979-09-11"
"Pier Graziano Gori","1980-05-10"
"Stojan Lukić","1979-12-28"
"西部 洋平","1980-12-01"
"Joel Ademir Pinto Herrera","1980-06-05"
"Luis Fernando Fernández López","1978-07-01"
"Attana Deshpande","1980-12-17"
"Dannie Bulman","1979-01-24"
"Mark McNulty","1980-10-13"
"Michael Gurski","1979-03-21"
"三浦 知良","1967-02-26"
"Kevin Ellison","1979-02-23"
"Kyriakos Stamatopoulos","1979-08-28"
